Вам интересно решать логические задачи?;Да;Прогер
Вам интересно решать логические задачи?;Интересно рассматривать структуру задачи;БД
Вам интересно решать логические задачи?;Нет;Веб
Какая из следующих программ вызывает у вас наибольший интерес и является вам знакомой?;Visual Studio;Прогер
Какая из следующих программ вызывает у вас наибольший интерес и является вам знакомой?;Adobe Illustrator;Веб
Какая из следующих программ вызывает у вас наибольший интерес и является вам знакомой?;SQL Management Server;БД
Есть ли у вас тяга придумывать что-то новое?;Да;Прогер
Есть ли у вас тяга придумывать что-то новое?;Да, но без фанатизма;Веб
Есть ли у вас тяга придумывать что-то новое?;Нет;БД
Чем бы Вы предпочли заниматься?;разработкой,сопровождением, внедрением и интеграцией программного обеспечения;Прогер
Чем бы Вы предпочли заниматься?;разработкой, администрированием и поддержкой серверов базы данных;БД
Чем бы Вы предпочли заниматься?;проектированием и версткой веб-страниц, программированием на стороне клиент-сервера;Веб
Какие из нижеперечисленных профессий кажутся наиболее интересными для Вас?;веб-дизайнер, разработчик мультимедийных приложений;Веб
Какие из нижеперечисленных профессий кажутся наиболее интересными для Вас?;разработчик С/C# , тестировщик, системный программист;Прогер
Какие из нижеперечисленных профессий кажутся наиболее интересными для Вас?;разработчик 1С и баз данных;БД
Знакомы ли Вам форматы html и css?;Да, это разновидности расширений файлов для вёрстки;Веб
Знакомы ли Вам форматы html и css?;Нет;БД
Знакомы ли Вам форматы html и css?;Да, используется для веб-разработки;Прогер
При решении какой-либо задачи, первым делом вы - ....;создам макет;Веб
При решении какой-либо задачи, первым делом вы - ....;изучу структуру и входные данные;БД
При решении какой-либо задачи, первым делом вы - ....;построю блок-схему и план действий;Прогер
Как Вы думаете, какие качества IT-специалиста наиболее востребованы?;инициативность, упорство, умение работать в команде, возможность к творческому подходу;Веб
Как Вы думаете, какие качества IT-специалиста наиболее востребованы?;умение решать задачи, аналитический склад ума, алгоритмизированный подход;Прогер
Как Вы думаете, какие качества IT-специалиста наиболее востребованы?;хорошая концентрация, усидчивость, умение анализировать;БД
Знакомо ли Вам понятие "первичный ключ"?;Да;БД
Знакомо ли Вам понятие "первичный ключ"?;Частично;Прогер;
Знакомо ли Вам понятие "первичный ключ"?;Нет;Веб;
Каким способом решения проблемы вы руководствуетесь?;разложить проблему на составляющие;БД
Каким способом решения проблемы вы руководствуетесь?;проработать сложный и детальный план решения проблемы;Прогер;
Каким способом решения проблемы вы руководствуетесь?;"главное сделать красиво";Веб
Нравится ли Вам экспериментировать с макетом и цветовым решением?;да;Веб
Нравится ли Вам экспериментировать с макетом и цветовым решением?;частично да, иногда приходится;Прогер
Нравится ли Вам экспериментировать с макетом и цветовым решением?;нет;БД
Что означает функция main?;позволяет запускать файлы как многократно используемые модули или как отдельные программы;Веб
Что означает функция main?;не знаю/не сталкивался;БД
Что означает функция main?;функция, являющаяся начальной точкой для выполнения программы;Прогер
Насколько важен символ точки с запятой в вашей деятельности?; важен, но используется только в отдельном файле и при последнем фрагменте кода необязателен;Веб
Насколько важен символ точки с запятой в вашей деятельности?;критически важен, без него работоспособность продукта может быть нарушена;Прогер
Насколько важен символ точки с запятой в вашей деятельности?;важен, но используется только при необходимости написании большого количества запросов;БД
В каком виде Вы сталкивались с понятием "комментарий"?;с использованием //;Прогер
В каком виде Вы сталкивались с понятием "комментарий"?;с использованием <!-- -->;Веб
В каком виде Вы сталкивались с понятием "комментарий"?;ни с одним видом;БД
Как создается строка в коде?;двойными ковычками;Прогер
Как создается строка в коде?;одинарными ковычками;БД
Как создается строка в коде?;двумя способами;Веб
Каким образом Вы можете загрузить/подключить в файл сторонний ресурс?;не знаю/не сталкивался;БД
Каким образом Вы можете загрузить/подключить в файл сторонний ресурс?;@import/<link>;Веб
Каким образом Вы можете загрузить/подключить в файл сторонний ресурс?;import/using/#include;Прогер